tag_level2,ct_mean__mean,ct_mean__std,ct_p95__mean,ct_p95__std,run_time_mean__mean,run_time_mean__std,run_time_p95__mean,run_time_p95__std,dev_sum__mean,dev_sum__std,dev_p95__mean,dev_p95__std,fail_rate__mean,fail_rate__std,failw_rate__mean,failw_rate__std,n_fail__mean,n_fail__std,n_total__mean,n_total__std
1009,1.253333333333103,0.008164965810049586,1.253333333333103,0.008164965810049586,27.8,3.3087762088119517,27.8,3.3087762088119517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
101,1.2333333333333485,0.00816496580926983,1.2333333333333485,0.00816496580926983,28.45,3.342902930089355,28.45,3.342902930089355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1010,1.2550000000007155,0.012247448713886156,1.2550000000007155,0.012247448713886156,27.866666666666664,2.0858251764389717,27.866666666666664,2.0858251764389717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1011,1.2500000000006064,0.008944271910194401,1.2500000000006064,0.008944271910194401,29.733333333333334,3.2647613491136953,29.733333333333334,3.2647613491136953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1012,1.2479999999999563,0.010954451150342418,1.2479999999999563,0.010954451150342418,26.46,0.7700649323271381,26.46,0.7700649323271381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.19425423471373776
1013,1.2483333333332969,0.009831920802716382,1.2483333333332969,0.009831920802716382,28.75,2.439467154933636,28.75,2.439467154933636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1014,1.2516666666670062,0.009831920802284674,1.2516666666670062,0.009831920802284674,28.666666666666668,2.6793033920529927,28.666666666666668,2.6793033920529927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1015,1.1450000000004366,0.25288337232595276,1.1450000000004366,0.25288337232595276,29.433333333333334,3.674597483625472,29.433333333333334,3.674597483625472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1016,1.256000000000131,0.005477225575171212,1.256000000000131,0.005477225575171212,29.96,2.7033312782565164,29.96,2.7033312782565164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.19425423471373776
1017,1.253333333333103,0.013662601020867636,1.253333333333103,0.013662601020867636,27.416666666666668,2.628624481866261,27.416666666666668,2.628624481866261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1018,1.2566666666668123,0.01751190071580051,1.2566666666668123,0.01751190071580051,27.46666666666667,2.470357598945274,27.46666666666667,2.470357598945274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1019,1.2583333333335152,0.019407902171103147,1.2583333333335152,0.019407902171103147,29.5,2.8677517326295883,29.5,2.8677517326295883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
102,1.0849999999996764,0.4045120517370406,1.0849999999996764,0.4045120517370406,27.150000000000002,1.162325255683622,27.150000000000002,1.162325255683622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1020,1.2566666666668123,0.01861898672543167,1.2566666666668123,0.01861898672543167,29.566666666666666,2.9049383240727638,29.566666666666666,2.9049383240727638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1021,1.0850000000006428,0.40918211104627733,1.0850000000006428,0.40918211104627733,27.816666666666666,2.3608614247063855,27.816666666666666,2.3608614247063855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1022,1.2699999999999818,0.011547005383519434,1.2699999999999818,0.011547005383519434,27.15,1.0082988974836116,27.15,1.0082988974836116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.18549303357599847
1023,1.249999999999697,0.0063245553198995955,1.249999999999697,0.0063245553198995955,27.05,2.3373061416938956,27.05,2.3373061416938956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1024,1.0833333333336366,0.4083462582990062,1.0833333333336366,0.4083462582990062,28.483333333333334,2.9996110859020817,28.483333333333334,2.9996110859020817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1025,1.2550000000004122,0.022583179582490284,1.2550000000004122,0.022583179582490284,30.400000000000002,4.8033321767289845,30.400000000000002,4.8033321767289845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1026,1.2450000000004973,0.010488088480889819,1.2450000000004973,0.010488088480889819,28.916666666666668,3.7015762408285835,28.916666666666668,3.7015762408285835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1027,1.2550000000001091,0.005477225575171228,1.2550000000001091,0.005477225575171228,29.75,3.756993478833839,29.75,3.756993478833839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1028,1.2516666666676126,0.013291601359225677,1.2516666666676126,0.013291601359225677,27.683333333333334,2.3970120288948618,27.683333333333334,2.3970120288948618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874358
1029,1.2639999999999418,0.01516575088855408,1.2639999999999418,0.01516575088855408,27.9,4.082891132518722,27.9,4.082891132518722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.19425423471373773
103,1.2275000000003615,0.009574271078306716,1.2275000000003615,0.009574271078306716,26.475,0.9742518497116975,26.475,0.9742518497116975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.18549303357599844
